PIVA_DISTRIBUTORE,COD_PDR,CAUSALE,NOME_FILE_INCOERENTE_EXC,NOME_FILE_LETTURA_CORRISPONDENTE,NOME_FILE_LETTURA_PRECEDENTE,STATO
03479071205,03081000953388,,,03479071205_02221101203_202311_TAL_20231115100028_1_M.xml,03479071205_02221101203_202310_TML_20231103153552_1_M.xml,ONLY_REPORT_1
03479071205,03081000427636,,,03479071205_02221101203_202305_TML_20230605104354_1_M.xml,03479071205_02221101203_202305_TAL_20230530100027_1_M.xml,ONLY_REPORT_1
03479071205,03081000953670,,,03479071205_02221101203_202301_TML_20230109093321_1_M.xml,03479071205_02221101203_202012_TML.0050_20201231085010_001.xml,ONLY_REPORT_1
03479071205,03081000427849,,,03479071205_02221101203_202306_TML_20230705183051_1_M.xml,03479071205_02221101203_202306_TAL_20230622180026_1_M.xml,ONLY_REPORT_1
03479071205,03081000952274,,,03479071205_02221101203_202301_TAL_20230202100032_1_M.xml,03479071205_02221101203_202301_TML_20230116080654_1_M.xml,ONLY_REPORT_1
03479071205,03081000427617,,,03479071205_02221101203_202307_TML_20230808160937_1_M.xml,03479071205_02221101203_202306_TAL_20230610100026_1_M.xml,ONLY_REPORT_1
03479071205,03081000427761,,,03479071205_06655971007_202307_TML_20230808161753_1_M.xml,03479071205_06655971007_202304_TAL_20230502195608_1_M.xml,ONLY_REPORT_1
03479071205,07710000014401,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202001_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000953728,,,03479071205_02221101203_202301_TAL_20230130100032_1_M.xml,03479071205_02221101203_202301_TML_20230109093321_1_M.xml,ONLY_REPORT_1
03479071205,03081000427892,,,03479071205_02221101203_202301_TAL_20230127100029_1_M.xml,03479071205_02221101203_202301_TML_20230104083329_1_M.xml,ONLY_REPORT_1
03479071205,03081000427800,,,03479071205_02221101203_202308_RML_20230904090722_1_R.xml,03479071205_02221101203_202307_TAL_20230706113619_1_M.xml,ONLY_REPORT_1
03479071205,03081000953731,,,03479071205_02221101203_202302_TAL_20230227180019_1_M.xml,03479071205_02221101203_202302_TML_20230220080000_1_M.xml,ONLY_REPORT_1
03479071205,07710000014544,,,03479071205_02221101203_202007_TAL.0150_20200730100005_0001.xml,03479071205_02221101203_202003_TAL.0150_20200329100004_0001.xml,ONLY_REPORT_1
03479071205,03081001477950,,,03479071205_02221101203_202302_TAL_20230220100027_1_M.xml,03479071205_02221101203_202302_TML_20230208144050_1_M.xml,ONLY_REPORT_1
03479071205,07710000013611,,,03479071205_01178580997_202310_TML_20231103134502_1_M.xml,03479071205_01178580997_202310_TML_20231109152413_1_M.xml,ONLY_REPORT_1
03479071205,07710000014404,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202003_20240111092651_1.csv,,,ONLY_EXC
03479071205,07710000014307,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202005_20240111092651_1.csv,,,ONLY_EXC
03479071205,07710000014213,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202009_20240111092651_1.csv,,,ONLY_EXC
03479071205,07710000013950,,,03479071205_02221101203_202306_TML_20230705170543_1_M.xml,03479071205_02221101203_202306_TAL_20230621100035_1_M.xml,ONLY_REPORT_1
03479071205,03081000429332,,,03479071205_07670380968_202109_TAL_20210930162057_1_M.xml,03479071205_07670380968_202108_TML_20210830081159_1_M.xml,ONLY_REPORT_1
03479071205,03081000427925,,,03479071205_02221101203_202302_TML_20230208160851_1_M.xml,03479071205_02221101203_202301_TAL_20230113100026_1_M.xml,ONLY_REPORT_1
03479071205,03081000953771,,,03479071205_02221101203_202306_TML_20230607171723_1_M.xml,03479071205_02221101203_202305_TAL_20230530180022_1_M.xml,ONLY_REPORT_1
03479071205,07710000014423,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202003_20240111092651_1.csv,,,ONLY_EXC
03479071205,07710000014523,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202002_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081001476854,,,03479071205_02221101203_202305_TML_20230605090850_1_M.xml,03479071205_02221101203_202304_TAL_20230420100022_1_M.xml,ONLY_REPORT_1
03479071205,03081000952275,,,03479071205_02221101203_202302_TAL_20230224100025_1_M.xml,03479071205_02221101203_202302_TML_20230208134231_1_M.xml,ONLY_REPORT_1
03479071205,07710000013649,,,03479071205_01178580997_202004_TML.0050_20200407083128_001.xml,03479071205_01178580997_202001_TML.0050_20200129083405_001.xml,ONLY_REPORT_1
03479071205,07710000014591,,,03479071205_01178580997_202007_TML.0050_20200707085956_001.xml,03479071205_01178580997_202004_TAL.0150_20200427100006_0001.xml,ONLY_REPORT_1
